Poverty_Incidence_pct,Illiteracy_Rate_pct,Uninsured_Rate_pct,Unemployment_Rate_pct,Youth_Dependency_Ratio,Latitude,Longitude,Condom_Use_Women_pct,VCT_Women_pct,HIV_Awareness_Women_pct,PMTCT_Knowledge_Women_pct,No_Insurance_Women_pct,Literacy_Women_pct,Edu_Secondary_Women_pct,No_Education_Women_pct,Modern_Contraception_pct,Adolescent_Fertility_Rate,Wife_Beating_Accept_pct,Unmet_FP_Need_pct,HIV_Prev_Total_pct_actual,District
-6.329483722116846e-07,-1.0127300502828989e-05,-2.2047147349323597e-05,7.894347068410079e-19,-3.488081676793209e-18,0.0013928843452821367,-0.0008864918603706698,-0.0008749288652171958,0.28848110126503107,0.0011212605990176623,0.006356453201580637,0.0016771936210934924,0.004697537071481865,-0.04397361383743988,0.002408382753931488,-1.680159617929208e-05,0.00205991148891749,-0.2669469410356783,0.00017900583864122394,1.9,Afigya Kwabre South
-6.329483722117388e-07,-1.5195401970565103e-08,-0.000379716819118397,-3.550762114890027e-18,-8.588914085158605e-19,0.001396868320576265,0.0024284803792370266,-0.0008701232890036909,0.2865994432009423,0.001010157389237149,0.006351727786510398,0.0016866605569556845,0.004703641559688399,-0.04560973105410432,0.0023614769068246383,6.82887295163944e-05,0.0020667496918392913,-0.2663747596165464,0.00020362999508712542,1.9,Ahafo Ano North Municipal
-6.32948372211793e-07,-1.519540197227272e-08,-0.0003895101968050601,2.032879073410321e-18,1.1689054672109345e-19,0.001396868320576266,0.001196807925562656,-0.0008712310299711807,0.2874952461488106,0.0010075994606434326,0.006356453201580637,0.0016858910022139759,0.004703641559688397,-0.044955575628287385,0.002361476906824642,-5.263649150641912e-07,0.0020649398834246702,-0.26661291744679244,0.0002036299950871252,1.9,Ahafo Ano South East
-6.32948372211793e-07,-1.51954019721643e-08,-0.0004264223441332038,3.7947076036992655e-18,-6.14945919706622e-19,0.0013968683205762633,0.0016247395882158242,-0.0008701232890036904,0.2873007334541582,0.0010101573892371486,0.0063564532015806426,0.0016866605569556836,0.004703641559688396,-0.0452562861129412,0.002361476906824639,1.9784509022067835e-05,0.0020667496918392904,-0.26653526968946567,0.00020362999508712553,1.9,Ahafo Ano South West
-6.329483722117388e-07,-1.5195401971595095e-08,-0.000431391394918463,8.538092108323347e-19,-1.616138863361205e-18,0.0012143426877701349,0.0009765315778584749,-0.000871231029971181,0.28785087955055133,0.0010075994606434339,0.006356453201580639,0.0016858910022139759,0.004703641559688398,-0.044780425213716245,0.002361476906824641,-6.1123749278216706e-06,0.0020649398834246694,-0.26669031706922014,0.00020051498983941545,1.9,Akrofuom
-6.32948372211793e-07,-1.5195401972354036e-08,-0.0003895101968050634,5.4752209710517974e-18,5.251604272976662e-19,0.0012355006273188705,0.001002838116905356,-0.0008712310299711813,0.2877465151704083,0.0010075994606434339,0.006356453201580641,0.0016858910022139754,0.004703641559688396,-0.04478042521371623,0.00236147690682464,-6.112374927821928e-06,0.0020649398834246694,-0.2666752983657855,0.00020051498983941556,1.9,Amansie Central
-6.329483722111967e-07,-1.5195401971269834e-08,-0.0004688570243543313,1.2739375526704677e-18,2.5851445550201246e-18,0.0012355006273188653,0.0015462688895363176,-0.0008701232890036907,0.2875095798077524,0.0010101573892371503,0.0063564532015806426,0.0016866605569556832,0.004703641559688395,-0.04513746473932818,0.00236147690682464,1.9784509022066968e-05,0.0020667496918392895,-0.2665806643445147,0.00020362999508712553,1.9,Amansie South
-6.329483722111425e-07,-1.51954019721643e-08,-0.00043139139491846473,4.743384504624082e-19,8.758320674609466e-19,0.001396868320576266,0.001045827954969628,-0.0008712310299711809,0.2876393280518525,0.0010075994606434339,0.006356453201580639,0.0016858910022139754,0.004703641559688395,-0.04486016611768329,0.002361476906824642,-6.1123749278211285e-06,0.0020649398834246694,-0.26665084667647115,0.00020051498983941545,1.9,Amansie West
-3.203179312356836e-07,-2.589890804806548e-05,0.0005078942021602582,1.3908280993915612e-18,3.1238575094738597e-18,0.001390903678089184,-0.00086101414376176,-0.000877985780525533,0.2890643773975751,0.0011296865978926995,0.00631360816866078,0.001717976013081922,0.004724558277970361,-0.0436593107916157,0.0023901663673944248,1.522041982383922e-06,0.002080743418573561,-0.2684290674791519,0.0001743068515205355,1.9,Asante Akim Central Municipal
-6.329483722126604e-07,-2.9188821384551425e-07,-0.0003635095891179216,-1.260385025514399e-18,6.335806445462167e-19,0.0013909036780891848,-0.0008615657700369687,-0.0008801644976185989,0.289439738881856,0.0012239764660350882,0.006356453201580641,0.001716052033360696,0.004723432692614895,-0.04320002143899738,0.002468613241202406,-4.6842047285986534e-06,0.0020760636098943732,-0.2686126526602437,0.0001704347865639881,1.9,Asante Akim North Municipal
-6.329483722120098e-07,-2.918882138449044e-07,-0.0003635095891179224,1.4907779871675686e-19,-1.455202603382888e-18,0.001390903678089184,-0.0008417206713886228,-0.0008801644976185991,0.28944201112113394,0.0012110032494107561,0.0063564532015806426,0.0017160520333606986,0.004723432692614892,-0.043212249501238205,0.002468613241202404,-4.684204728597761e-06,0.0020760636098943732,-0.26860956871930475,0.000170434786563988,1.9,Asante Akim South Municipal
-3.203179312347756e-07,2.0794774529536804e-07,0.0005177957144937162,8.978549240895584e-19,5.7293308552280875e-18,0.0013881909187242706,-0.0015371169299036157,-0.0008765582784426826,0.2887204158446853,0.001082413868806291,0.006313608168660783,0.0016781306361223793,0.004695875698775558,-0.04394825833358077,0.0023719301632261864,-1.9352930919665573e-05,0.0020578456557188308,-0.2669772359400031,0.00017457370768984994,1.9,Asokore Mampong Municipal
-3.203179312252346e-07,-2.5622215236187183e-05,0.0006162722797163951,4.20128341838133e-18,9.163202423397021e-18,0.0013928843452821371,-0.0010414687725769146,-0.000874928865217196,0.2883464333743181,0.00105550775918896,0.006313608168660787,0.001678130636122378,0.0046973086387695545,-0.04422008249594033,0.002343087657184095,-1.1063442862201405e-05,0.0020605180310285633,-0.26686607374102855,0.00017795455438848745,1.9,Asokwa Municipal
-6.329483722135277e-07,-1.0127300502827959e-05,-0.00019954497748716108,1.8736368793265124e-18,-2.2937652211646453e-18,0.0013968683205762646,0.0010664227491714265,-0.000869052312878115,0.2873988570107111,0.0010075994606434326,0.006356453201580637,0.0016858910022139763,0.004703641559688399,-0.044909963616706614,0.002361476906824642,-5.545441155959191e-06,0.0020673903777473756,-0.26660867731094134,0.00020108891275438508,1.9,Atwima Kwanwoma
-6.329483722111425e-07,-1.5195401971649305e-08,0.00019103769083059503,-4.607859233063394e-19,-1.238362168885787e-18,0.0013968683205762642,0.0023773755004613773,-0.0008679445719106247,0.2864424362796851,0.000980590307775542,0.006342529008666152,0.0016872223082072485,0.004703641559688398,-0.046003096125156975,0.002327253048506086,6.63857227371038e-05,0.002069766975056268,-0.2662782032652617,0.00020693097778048117,1.9,Atwima Mponua
-3.203179312387871e-07,-2.5622215236192814e-05,0.0004181581632354599,5.72594272343907e-19,5.251604272976662e-19,0.0013968683205762655,0.001097459787481573,-0.0008690523128781152,0.28727003909470944,0.0009388532746846879,0.006313608168660783,0.0016867469597115468,0.0047047671450438705,-0.045376061867586547,0.0023105852482625975,-1.2953902547899301e-06,0.002069046981943261,-0.2664960225013515,0.00020438705479596257,1.9,Atwima Nwabiagya North
