District,Region,LISA_Local_Morans_I,LISA_P_Value,LISA_Significant_Flag,LISA_Cluster_Type
Sefwi Wiawso Municipal,Western North,0.7197287867882735,0.005,1,HH
Jaman North,Bono,0.12437307932264474,0.29,0,NS
Asunafo South,Ahafo,0.18347464704254382,0.13,0,NS
Tain,Bono,0.12437307932264474,0.25,0,NS
Nkoranza South Municipal,Bono East,0.061049971051324224,0.433,0,NS
Sekyere Kumawu,Ashanti,4.154558887721954e-05,0.419,0,NS
Bole,Savannah,1.5076165036062599,0.037,1,LL
Sekyere Afram Plains,Ashanti,-0.00111579581555953,0.376,0,NS
Asante Akim North Municipal,Ashanti,4.154558887721955e-05,0.413,0,NS
Asante Akim Central Municipal,Ashanti,4.154558887721954e-05,0.423,0,NS
Kintampo North Municipal,Bono East,-0.35688254353939075,0.023,1,HL
Asokore Mampong Municipal,Ashanti,4.154558887721955e-05,0.417,0,NS
Atebubu Amantin Municipal,Bono East,0.07009612937579858,0.325,0,NS
Kwadaso Municipal,Ashanti,4.154558887721955e-05,0.417,0,NS
Kpandai,Northern,1.2085705069989152,0.081,0,NS
Ejisu Municipal,Ashanti,4.154558887721954e-05,0.458,0,NS
Nkwanta North (Kpassa),Oti,-0.28036574325749214,0.023,1,HL
Biakoye,Oti,0.058918993227282127,0.3,0,NS
Wassa Amenfi East Municipal,Western,0.5631708060904893,0.068,0,NS
Central Gonja,Savannah,3.0685708815017416,0.001,1,LL
Tema West Municipal,Greater Accra,0.5066264117594405,0.346,0,NS
Ashaiman Municipal,Greater Accra,0.5066264117594405,0.346,0,NS
Pru East,Bono East,-0.19646400258537897,0.112,0,NS
Kpone Katamanso Municipal,Greater Accra,0.5066264117594405,0.041,1,HH
Savelugu Municipal,Northern,3.6929526326599342,0.001,1,LL
Tamale Metropolitan Area (TMA)-Tamale Central & Tamale South,Northern,3.6929526326599342,0.001,1,LL
Sagnarigu Municipal,Northern,3.6929526326599342,0.001,1,LL
Karaga,Northern,3.6929526326599342,0.001,1,LL
North East Gonja,Savannah,2.1245295735305034,0.002,1,LL
South Dayi,Volta,0.054271257111052344,0.486,0,NS
Tempane,Upper East,2.44170123997755,0.009,1,LL
Bolgatanga East,Upper East,2.44170123997755,0.004,1,LL
Yunyoo Nasuan,North East,3.6929526326599342,0.002,1,LL
Nanton,Northern,3.6929526326599342,0.001,1,LL
Assin Central Municipal,Central,0.054271257111052344,0.374,0,NS
Gomoa Central,Central,0.05427125711105234,0.42,0,NS
Pru West,Bono East,-0.0093090381390318,0.431,0,NS
Berekum West,Bono,0.12437307932264474,0.354,0,NS
Ahafo Ano South West,Ashanti,-0.0008843275346721799,0.433,0,NS
Amansie South,Ashanti,-0.001501576283705113,0.34,0,NS
Atwima Nwabiagya North,Ashanti,4.154558887721955e-05,0.43,0,NS
Akrofuom,Ashanti,-0.0005371251133411551,0.447,0,NS
Adansi North,Ashanti,4.154558887721954e-05,0.432,0,NS
Obuasi East,Ashanti,4.1545588877219546e-05,0.445,0,NS
Afigya Kwabre North,Ashanti,4.1545588877219546e-05,0.445,0,NS
"Kumasi Metropolitan Area (KMA)-Bantama, Manhyia North, Manhyia South, Nhyiaeso, & Subin",Ashanti,4.154558887721954e-05,0.432,0,NS
Oforikrom Municipal,Ashanti,4.154558887721955e-05,0.43,0,NS
Asokwa Municipal,Ashanti,4.1545588877219546e-05,0.445,0,NS
Old Tafo Municipal,Ashanti,4.154558887721955e-05,0.43,0,NS
Suame Municipal,Ashanti,4.154558887721954e-05,0.432,0,NS
Juaben Municipal,Ashanti,4.154558887721955e-05,0.43,0,NS
Ablekuma Central Municipal,Greater Accra,0.5066264117594405,0.095,0,NS
Korle Klottey Municipal,Greater Accra,0.5066264117594405,0.044,1,HH
Ablekuma North Municipal,Greater Accra,0.5066264117594406,0.01,1,HH
Ayawaso North Municipal,Greater Accra,0.5066264117594405,0.044,1,HH
Ayawaso East Municipal,Greater Accra,0.5066264117594405,0.044,1,HH
Okaikoi North Municipal,Greater Accra,0.5066264117594405,0.027,1,HH
Ga North Municipal,Greater Accra,0.5066264117594405,0.095,0,NS
Weija Gbawe Municipal,Greater Accra,0.393023249139816,0.091,0,NS
Krowor Municipal,Greater Accra,0.5066264117594405,0.341,0,NS
Tema Metropolitan Area (TMA)-Tema Central & Tema East,Greater Accra,0.5066264117594405,0.341,0,NS
East Gonja Municipal,Savannah,1.0705492777955252,0.106,0,NS
Ablekuma West Municipal,Greater Accra,0.5066264117594405,0.064,0,NS
Ayawaso Central Municipal,Greater Accra,0.5066264117594405,0.064,0,NS
"Accra Metropolitan Area (AMA)-Ablekuma South, Ashiedu Keteke & Okaikoi South",Greater Accra,0.5066264117594405,0.091,0,NS
Anloga,Volta,0.09145314604089061,0.349,0,NS
"Sekondi Takoradi Metropolitan Area (STMA)- Takoradi, Sekondi & Essikado-Ketan",Western,0.9047518548856542,0.008,1,HH
Kwahu South Municipal,Eastern,1.1468015428992648,0.001,1,HH
Asene Manso Akroso,Eastern,1.1468015428992648,0.001,1,HH
Upper Manya Krobo,Eastern,1.1468015428992648,0.001,1,HH
Achiase,Eastern,1.1468015428992648,0.023,1,HH
Okere,Eastern,1.1468015428992646,0.003,1,HH
Yilo Krobo Municipal,Eastern,1.1468015428992648,0.001,1,HH
Atiwa West,Eastern,1.1468015428992648,0.001,1,HH
New Juaben North Municipal,Eastern,1.1468015428992648,0.001,1,HH
Fanteakwa North,Eastern,1.1468015428992648,0.001,1,HH
Birim North,Eastern,1.1468015428992648,0.001,1,HH
Asuogyaman,Eastern,1.1468015428992646,0.003,1,HH
Kwahu East,Eastern,1.1468015428992646,0.003,1,HH
Kwahu West Municipal,Eastern,1.1468015428992648,0.001,1,HH
Lower Manya Krobo Municipal,Eastern,1.1468015428992646,0.003,1,HH
Nsawam Adoagyiri Municipal,Eastern,1.1468015428992646,0.003,1,HH
Akwapim South Municipal,Eastern,1.1468015428992646,0.003,1,HH
Denkyembuor,Eastern,1.1468015428992648,0.001,1,HH
Kwaebibirem Municipal,Eastern,1.1468015428992648,0.001,1,HH
Kwahu Afram Plains South,Eastern,1.1468015428992648,0.001,1,HH
Kwahu Afram Plains North,Eastern,1.1468015428992646,0.003,1,HH
Suhum Municipal,Eastern,1.1468015428992648,0.001,1,HH
Ayensuano,Eastern,1.1468015428992648,0.001,1,HH
Abuakwa South Municipal,Eastern,1.1468015428992648,0.001,1,HH
Upper West Akim,Eastern,1.1468015428992648,0.001,1,HH
West Akim Municipal,Eastern,1.1468015428992648,0.001,1,HH
Akyemansa,Eastern,1.1468015428992648,0.001,1,HH
Atiwa East,Eastern,1.1468015428992648,0.001,1,HH
New Juaben South Municipal,Eastern,1.1468015428992648,0.001,1,HH
Birim South,Eastern,1.1468015428992648,0.001,1,HH
Abuakwa North Municipal,Eastern,1.1468015428992648,0.001,1,HH
Akwapim North Municipal,Eastern,1.1468015428992648,0.001,1,HH
Fanteakwa South,Eastern,1.1468015428992648,0.001,1,HH
Birim Central Municipal,Eastern,1.1468015428992648,0.001,1,HH
