District,HIV_Prev_Total_pct,G_Star_Z_Score,P_Value,Hotspot_Type
Banda,2.2,-0.09992700067073486,0.920402280196855,Not Significant
Sefwi Wiawso Municipal,2.7,0.7705291490482764,0.44098607097213716,Not Significant
Jaman North,2.2,0.3592147082934908,0.7194344743165815,Not Significant
Asunafo South,2.2,0.528372180017153,0.597241042577112,Not Significant
Tain,2.2,0.3592147082934908,0.7194344743165815,Not Significant
Nkoranza South Municipal,2.2,0.17797456001813794,0.8587429549243404,Not Significant
Sekyere Kumawu,1.9,-0.00466396908156978,0.9962787045690717,Not Significant
Bole,0.3,-0.8031692299636707,0.4218769277041634,Not Significant
Sekyere Afram Plains,1.9,0.17653122973740148,0.8598766161380098,Not Significant
Asante Akim North Municipal,1.9,-0.004663969081570038,0.9962787045690715,Not Significant
Asante Akim Central Municipal,1.9,-0.00466396908156978,0.9962787045690717,Not Significant
Kintampo North Municipal,2.2,-1.0182104185991865,0.3085779692530617,Not Significant
Asokore Mampong Municipal,1.9,-0.004663969081570038,0.9962787045690715,Not Significant
Atebubu Amantin Municipal,2.2,0.20386600977176014,0.8384582075029998,Not Significant
Kwadaso Municipal,1.9,-0.004663969081570038,0.9962787045690715,Not Significant
Kpandai,0.3,-0.6449784842902176,0.5189411288329799,Not Significant
Ejisu Municipal,1.9,-0.00466396908156978,0.9962787045690717,Not Significant
Nkwanta North (Kpassa),2.1,-1.211830976978688,0.22557708793271924,Not Significant
Biakoye,2.1,0.25802328795177504,0.7963889344196557,Not Significant
Wassa Amenfi East Municipal,2.7,0.6041350350758259,0.5457538682587737,Not Significant
Central Gonja,0.3,-1.6288901551822443,0.10333627455658445,Not Significant
Tema West Municipal,2.5,0.723642813096749,0.4692850500858772,Not Significant
Ashaiman Municipal,2.5,0.723642813096749,0.4692850500858772,Not Significant
Pru East,2.2,-0.5590687096349602,0.576114828591153,Not Significant
Kpone Katamanso Municipal,2.5,0.723642813096749,0.4692850500858772,Not Significant
Savelugu Municipal,0.3,-1.9591785252696743,0.050091883141938576,Not Significant
Tamale Metropolitan Area (TMA)-Tamale Central & Tamale South,0.3,-1.959178525269674,0.050091883141938576,Not Significant
Sagnarigu Municipal,0.3,-1.9591785252696743,0.050091883141938576,Not Significant
Karaga,0.3,-1.959178525269674,0.050091883141938576,Not Significant
North East Gonja,0.3,-1.1295067822270886,0.2586841101145336,Not Significant
