Region,District,Class,Latitude,Longitude,Poverty_Incidence_pct,Poverty_Intensity_pct,Illiteracy_Rate_pct,Uninsured_Rate_pct,Unemployment_Rate_pct,Youth_Dependency_Ratio,Total_Pop,Condom_Use_Women_pct,Condom_Use_Men_pct,HighRisk_Sex_Women_pct,HighRisk_Sex_Men_pct,HIV_Awareness_Women_pct,HIV_Awareness_Men_pct,PMTCT_Knowledge_Women_pct,PMTCT_Knowledge_Men_pct,VCT_Women_pct,VCT_Men_pct,VCT_12mo_Women_pct,Refuse_Sex_Women_pct,Ask_Condom_STI_Women_pct,No_Insurance_Women_pct,No_Insurance_Men_pct,Literacy_Women_pct,Secondary_Edu_Women_pct,Edu_Secondary_Women_pct,No_Education_Women_pct,Wife_Beating_Accept_pct,Adolescent_Fertility_Rate,Modern_Contraception_pct,Unmet_FP_Need_pct,HIV_Prev_Women_pct,HIV_Prev_Men_pct,HIV_Prev_Total_pct,LISA_Local_Morans_I,LISA_P_Value,LISA_Significant_Flag,LISA_Cluster_Type,Spatial_Unit_Note,Data_Source_HIV_Prevalence,Data_Source_Behavioural,Data_Source_Socioeconomic,Data_Source_Insurance,Data_Source_Education,Data_Source_Spatial_Boundaries
Bono,Jaman South,Municipal,7.62036559999999,-2.7963718064665,15.6,42.1,26.35,8.82,49.44,59.48,109768,8.8,26.0,38.6,55.1,96.7,97.9,77.8,73.2,54.5,25.3,15.8,68.7,81.4,1.5,22.5,61.5,10.2,77.4,11.8,17.2,36.0,22.2,23.7,2.9,1.4,2.2,0.12437307932264474,0.359,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Bono,Sunyani Municipal,Municipal,7.3384389,-2.3309226,10.9,41.5,14.47,11.18,51.26,48.05,193595,8.8,26.0,38.6,55.1,96.7,97.9,77.8,73.2,54.5,25.3,15.8,68.7,81.4,1.5,22.5,61.5,10.2,77.4,11.8,17.2,36.0,22.2,23.7,2.9,1.4,2.2,0.12437307932264474,0.299,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Bono,Sunyani West Municipal,Municipal,7.35779433737633,-2.34687996021684,17.6,43.1,20.83,15.61,55.78,50.24,136022,8.8,26.0,38.6,55.1,96.7,97.9,77.8,73.2,54.5,25.3,15.8,68.7,81.4,1.5,22.5,61.5,10.2,77.4,11.8,17.2,36.0,22.2,23.7,2.9,1.4,2.2,0.1085423022548146,0.21,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Bono,Tain,District,7.9614185,-2.1422727,21.5,41.9,36.55,19.06,46.67,61.96,115568,8.8,26.0,38.6,55.1,96.7,97.9,77.8,73.2,54.5,25.3,15.8,68.7,81.4,1.5,22.5,61.5,10.2,77.4,11.8,17.2,36.0,22.2,23.7,2.9,1.4,2.2,0.12437307932264474,0.25,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Bono,Wenchi Municipal,Municipal,7.80281055,-2.08141333112632,23.6,42.2,33.76,20.26,50.64,64.4,124758,8.8,26.0,38.6,55.1,96.7,97.9,77.8,73.2,54.5,25.3,15.8,68.7,81.4,1.5,22.5,61.5,10.2,77.4,11.8,17.2,36.0,22.2,23.7,2.9,1.4,2.2,0.12437307932264474,0.199,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Bono East,Atebubu Amantin Municipal,Municipal,7.72813859999999,-1.09550967027384,28.8,41.5,40.99,25.49,44.98,71.37,144947,10.4,26.0,30.7,47.0,90.7,94.4,63.6,60.1,53.1,20.8,12.2,73.3,81.5,6.8,18.2,44.9,6.3,57.8,24.0,19.0,92.0,17.7,29.6,2.9,1.4,2.2,0.07009612937579858,0.325,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Bono East,Kintampo North Municipal,Municipal,8.053714,-1.728919,28.1,43.4,40.52,21.6,53.38,67.48,140250,10.4,26.0,30.7,47.0,90.7,94.4,63.6,60.1,53.1,20.8,12.2,73.3,81.5,6.8,18.2,44.9,6.3,57.8,24.0,19.0,92.0,17.7,29.6,2.9,1.4,2.2,-0.35688254353939075,0.023,1.0,HL,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Bono East,Kintampo South,District,7.94321545,-1.73400515142892,26.0,42.3,40.52,18.55,46.47,68.68,88384,10.4,26.0,30.7,47.0,90.7,94.4,63.6,60.1,53.1,20.8,12.2,73.3,81.5,6.8,18.2,44.9,6.3,57.8,24.0,19.0,92.0,17.7,29.6,2.9,1.4,2.2,0.009788407212636283,0.486,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Bono East,Nkoranza North,District,7.7184776,-1.64389618122841,25.8,41.4,34.75,17.75,46.87,64.86,56468,10.4,26.0,30.7,47.0,90.7,94.4,63.6,60.1,53.1,20.8,12.2,73.3,81.5,6.8,18.2,44.9,6.3,57.8,24.0,19.0,92.0,17.7,29.6,2.9,1.4,2.2,0.10628076267369602,0.211,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Bono East,Nkoranza South Municipal,Municipal,7.45296465,-1.67701851419084,18.0,41.6,29.96,14.69,46.81,62.06,114642,10.4,26.0,30.7,47.0,90.7,94.4,63.6,60.1,53.1,20.8,12.2,73.3,81.5,6.8,18.2,44.9,6.3,57.8,24.0,19.0,92.0,17.7,29.6,2.9,1.4,2.2,0.061049971051324224,0.433,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Bono East,Pru East,District,7.9636217,-0.9549861,30.3,41.2,43.86,28.24,45.26,70.85,100840,10.4,26.0,30.7,47.0,90.7,94.4,63.6,60.1,53.1,20.8,12.2,73.3,81.5,6.8,18.2,44.9,6.3,57.8,24.0,19.0,92.0,17.7,29.6,2.9,1.4,2.2,-0.19646400258537897,0.112,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Bono East,Pru West,District,8.03487795,-1.31329234137589,38.3,40.8,47.34,41.22,43.97,71.07,69820,10.4,26.0,30.7,47.0,90.7,94.4,63.6,60.1,53.1,20.8,12.2,73.3,81.5,6.8,18.2,44.9,6.3,57.8,24.0,19.0,92.0,17.7,29.6,2.9,1.4,2.2,-0.0093090381390318,0.431,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Bono East,Sene East,District,7.6658435,-0.182426172494555,49.5,41.5,49.9,43.63,43.57,78.94,72081,10.4,26.0,30.7,47.0,90.7,94.4,63.6,60.1,53.1,20.8,12.2,73.3,81.5,6.8,18.2,44.9,6.3,57.8,24.0,19.0,92.0,17.7,29.6,2.9,1.4,2.2,-0.03242699830157739,0.386,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Bono East,Sene West,District,7.74897775,-0.618112944814146,26.8,41.0,47.63,20.33,38.67,69.63,70104,10.4,26.0,30.7,47.0,90.7,94.4,63.6,60.1,53.1,20.8,12.2,73.3,81.5,6.8,18.2,44.9,6.3,57.8,24.0,19.0,92.0,17.7,29.6,2.9,1.4,2.2,-0.06137470493989531,0.311,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Bono East,Techiman Municipal,Municipal,7.5279454,-1.97466940505838,9.8,41.4,23.61,11.53,43.28,57.77,243335,10.4,26.0,30.7,47.0,90.7,94.4,63.6,60.1,53.1,20.8,12.2,73.3,81.5,6.8,18.2,44.9,6.3,57.8,24.0,19.0,92.0,17.7,29.6,2.9,1.4,2.2,0.1032653765655379,0.253,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Bono East,Techiman North,District,7.70365499999999,-1.98577027897075,15.0,41.8,26.88,14.99,48.06,58.73,102529,10.4,26.0,30.7,47.0,90.7,94.4,63.6,60.1,53.1,20.8,12.2,73.3,81.5,6.8,18.2,44.9,6.3,57.8,24.0,19.0,92.0,17.7,29.6,2.9,1.4,2.2,0.12437307932264474,0.292,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Central,Abura Asebu Kwamankese,District,5.2698722,-1.18890498156872,28.0,44.1,26.92,35.54,50.57,62.79,124465,11.4,29.3,39.9,56.2,98.4,95.7,69.9,64.7,57.4,20.9,16.0,78.6,95.1,16.5,40.2,72.9,7.8,76.6,7.4,19.3,60.0,27.1,21.3,2.8,1.3,2.1,0.054271257111052344,0.345,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Central,Agona East,District,5.63553575,-0.654757357749996,25.9,43.6,22.75,53.92,49.42,57.62,98637,11.4,29.3,39.9,56.2,98.4,95.7,69.9,64.7,57.4,20.9,16.0,78.6,95.1,16.5,40.2,72.9,7.8,76.6,7.4,19.3,60.0,27.1,21.3,2.8,1.3,2.1,0.05427125711105234,0.438,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Central,Agona West Municipal,Municipal,4.8901537,-1.9664135,21.0,43.7,19.49,36.45,48.1,55.15,136569,11.4,29.3,39.9,56.2,98.4,95.7,69.9,64.7,57.4,20.9,16.0,78.6,95.1,16.5,40.2,72.9,7.8,76.6,7.4,19.3,60.0,27.1,21.3,2.8,1.3,2.1,0.054271257111052344,0.371,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Central,Ajumako Enyan Essiam,District,5.41243515,-0.984801059019988,29.6,43.5,24.18,40.74,50.08,63.54,120586,11.4,29.3,39.9,56.2,98.4,95.7,69.9,64.7,57.4,20.9,16.0,78.6,95.1,16.5,40.2,72.9,7.8,76.6,7.4,19.3,60.0,27.1,21.3,2.8,1.3,2.1,0.05427125711105233,0.32,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Central,Asikuma Odoben Brakwa,District,5.62649825,-1.02551876426311,29.0,42.3,25.36,36.64,45.63,64.53,126993,11.4,29.3,39.9,56.2,98.4,95.7,69.9,64.7,57.4,20.9,16.0,78.6,95.1,16.5,40.2,72.9,7.8,76.6,7.4,19.3,60.0,27.1,21.3,2.8,1.3,2.1,0.05427125711105233,0.32,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Central,Assin Central Municipal,Municipal,5.73294244999999,-1.31730368183195,18.1,42.8,14.64,34.53,45.5,58.76,88753,11.4,29.3,39.9,56.2,98.4,95.7,69.9,64.7,57.4,20.9,16.0,78.6,95.1,16.5,40.2,72.9,7.8,76.6,7.4,19.3,60.0,27.1,21.3,2.8,1.3,2.1,0.054271257111052344,0.374,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Central,Assin North,District,5.82545685,-1.37392719579152,31.9,42.0,27.51,47.2,42.01,62.54,80539,11.4,29.3,39.9,56.2,98.4,95.7,69.9,64.7,57.4,20.9,16.0,78.6,95.1,16.5,40.2,72.9,7.8,76.6,7.4,19.3,60.0,27.1,21.3,2.8,1.3,2.1,0.035680312646133194,0.406,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Central,Assin South,District,5.52889644999999,-1.2709401638536,27.4,41.7,25.67,36.3,45.56,66.85,105995,11.4,29.3,39.9,56.2,98.4,95.7,69.9,64.7,57.4,20.9,16.0,78.6,95.1,16.5,40.2,72.9,7.8,76.6,7.4,19.3,60.0,27.1,21.3,2.8,1.3,2.1,0.05427125711105233,0.32,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Central,Awutu Senya West,District,5.61965885,-0.520145612112832,22.5,44.5,25.3,57.33,45.22,64.89,161460,11.4,29.3,39.9,56.2,98.4,95.7,69.9,64.7,57.4,20.9,16.0,78.6,95.1,16.5,40.2,72.9,7.8,76.6,7.4,19.3,60.0,27.1,21.3,2.8,1.3,2.1,0.08215767380843103,0.297,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Central,Awutu Senya East Municipal,Municipal,5.40379055,-0.518157686947431,10.6,42.9,10.35,41.97,45.99,53.02,236527,11.4,29.3,39.9,56.2,98.4,95.7,69.9,64.7,57.4,20.9,16.0,78.6,95.1,16.5,40.2,72.9,7.8,76.6,7.4,19.3,60.0,27.1,21.3,2.8,1.3,2.1,0.08215767380843103,0.297,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Central,Cape Cape Metropolitan Area (CCMA)-Cape Coast South & Cape Coast North,Metropolitan,5.1115501,-1.2484127,12.9,44.3,10.95,27.52,49.04,43.35,187365,11.4,29.3,39.9,56.2,98.4,95.7,69.9,64.7,57.4,20.9,16.0,78.6,95.1,16.5,40.2,72.9,7.8,76.6,7.4,19.3,60.0,27.1,21.3,2.8,1.3,2.1,0.05427125711105234,0.438,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Central,Effutu Municipal,Municipal,5.38339225,-0.597395635326539,21.7,44.2,18.59,29.94,65.75,37.48,108816,11.4,29.3,39.9,56.2,98.4,95.7,69.9,64.7,57.4,20.9,16.0,78.6,95.1,16.5,40.2,72.9,7.8,76.6,7.4,19.3,60.0,27.1,21.3,2.8,1.3,2.1,0.05427125711105234,0.438,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
